number,questions,A,B,C,D,correct
1,電子メールを暗号化するために使用される方式はどれか。,BASE64,GZIP,PNG,S/MIME,D
2,オブジェクト指向分析を用いてモデリングしたとき，クラスとオブジェクトの関係になる組みはどれか。,公園，ぶらんこ,公園，代々木公園,鉄棒，ぶらんこ,中之島公園，代々木公園,B
3,再帰的プログラムの特徴として，最も適切なものはどれか。,一度実行した後，ロードし直さずに再び実行を繰り返しても，正しい結果が得られる。,実行中に自分自身を呼び出すことができる。,主記憶上のどこのアドレスに配置しても，実行することができる。,同時に複数のタスクが共有して実行しても，正しい結果が得られる。,B
4,"横1,600画素，縦1,200画素で，24ビットのカラー情報をもつ画像が撮影できるディジタルカメラがある。このカメラに8Mバイトの記録用メモリを使用すると，何枚の画像が記録できるか。ここで，画像は圧縮しないものとする。",1,4,11,15,A
5,OpenFlowを使ったSDN(Software-Defined Networking)の説明として，適切なものはどれか。,RFIDを用いるIoT(Internet of Things)技術の一つであり，物流ネットワークを最適化するためのソフトウェアアーキテクチャ,音楽や動画，オンラインゲームなどの様々なソフトウェアコンテンツをインターネット経由で効率的に配信するために開発された，ネットワーク上のサーバの最適配置手法,データ転送と経路制御の機能を論理的に分離し，データ転送に特化したネットワーク機器とソフトウェアによる経路制御の組合せで実現するネットワーク技術,データフロー図やアクティビティ図などを活用して，業務プロセスの問題点を発見し改善を行うための，業務分析と可視化ソフトウェアの技術,C
6,EMS(Electronics Manufacturing Service)の説明として適切なものはどれか。,一般消費者からの家電製品に関する問合せの受付窓口となって電話対応を行う。,製造設備をもたず，製品の企画，設計及び開発を行う。,他メーカから仕入れた電子機器などの販売を専門に行う。,他メーカから受注した電子機器などの受託生産を行う。,D
7,ビッグデータの活用例として，大量のデータから統計学的手法などを用いて新たな知識(傾向やパターン)を見つけ出すプロセスはどれか。,データウェアハウス,データディクショナリ,データマイニング,メタデータ,C
8,主記憶のアクセス時間60ナノ秒，キャッシュメモリのアクセス時間10ナノ秒のシステムがある。キャッシュメモリを介して主記憶にアクセスする場合の実効アクセス時間が15ナノ秒であるとき，キャッシュメモリのヒット率は幾らか。,0.1,0.17,0.83,0.9,D
9,SQL文を実行する際に，効率が良いと考えられるアクセス経路を選択する関係データベース管理システム(RDBMS)の機能はどれか。,オプティマイザ,ガーベジコレクション,クラスタリング,マージソート,A
10,ルータがパケットの経路決定に用いる情報として，最も適切なものはどれか。,宛先IPアドレス,宛先MACアドレス,発信元IPアドレス,発信元MACアドレス,A
